Year,Month,ArtistScore,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,target
1992,1,0,0.691,0.0331,10,-14.197,1,0.0906,0.995,0.0587,0.112,0.608,106.387,0
2007,6,0,0.115,0.905,9,-7.437,1,0.131,0.000188,0.209,0.189,0.193,83.979,0
2013,6,0,0.694,0.762,4,-14.742,1,0.0399,0.595,0.000392,0.203,0.952,112.928,0
2003,1,0,0.917,0.734,11,-5.011,0,0.129,0.291,0.000982,0.292,0.742,89.478,0
1999,1,0,0.673,0.73,5,-6.722,1,0.0287,0.25,1.35E-06,0.177,0.598,98.905,0
2002,12,1,0.837,0.885,6,-3.914,0,0.182,0.103,0,0.0666,0.694,95.313,1
2005,2,0,0.745,0.45,4,-9.121,1,0.0354,0.288,0,0.0538,0.807,133.952,1
2009,1,0,0.572,0.886,9,-4.478,1,0.0534,0.000185,3.95E-05,0.245,0.702,111.606,0
2007,10,0,0.847,0.756,9,-6.623,0,0.0376,0.2,0.0327,0.124,0.965,115.278,0
2000,2,1,0.725,0.733,0,-6.66,1,0.0242,0.508,0,0.173,0.843,100.311,1
2006,1,0,0.455,0.409,7,-11.377,1,0.0277,0.446,6.88E-05,0.0966,0.118,160.223,0
2003,10,0,0.494,0.896,1,-14.511,1,0.0839,0.000559,0,0.387,0.496,94.263,0
2009,7,1,0.613,0.634,2,-3.472,1,0.0339,0.0178,0,0.0719,0.37,144.953,1
2010,6,0,0.722,0.813,11,-5.524,0,0.306,0.165,0,0.0459,0.659,90.029,1
1992,3,1,0.832,0.643,5,-6.754,0,0.0302,0.138,7.68E-05,0.246,0.779,107.964,1
1999,4,0,0.679,0.528,7,-7.901,1,0.0267,0.0754,0,0.12,0.274,99.035,1
1998,5,1,0.682,0.543,0,-7.063,0,0.0454,0.494,0,0.158,0.478,71.582,1
1995,3,0,0.723,0.857,7,-9.989,1,0.241,0.0523,2.66E-05,0.149,0.642,129.87,1
2001,7,1,0.775,0.729,1,-4.229,0,0.162,0.0303,0.00247,0.0361,0.895,104.719,0
2001,5,0,0.198,0.189,9,-17.325,1,0.0354,0.965,0.764,0.0917,0.032,67.933,0
1995,10,0,0.833,0.704,4,-7.107,1,0.181,0.0351,0.000309,0.123,0.647,101.407,1
1993,1,0,0.822,0.374,2,-14.982,1,0.0329,0.607,0.00265,0.0608,0.758,106.659,1
2012,8,0,0.464,0.978,2,-1.474,1,0.0524,0.0166,0,0.33,0.721,80.959,0
2006,1,0,0.692,0.738,1,-6.43,1,0.0283,0.149,0.00013,0.0836,0.841,124.992,0
2018,6,0,0.651,0.611,10,-11.96,1,0.0609,0.751,0.944,0.113,0.965,134.213,0
